Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=job_878c2bc042c0221f,글로벌주식운용팀 경력사원 안내 (~11/30),삼성자산운용대한민국,,"량분석(Quantitative Analysis) 을 통한 개별주식 운용 전략 개발 및 운용 경력 우대 - Python, VBA 등의 프로그래밍 언어를 통한 개발 능력 및 MSSQL 등 의 데이터베이스 연계 프로그래밍 경력자..."
https://kr.indeed.com/viewjob?jk=job_7b2496c8a71f02f2,광고데이터플랫폼 개발자 모집,카카오4.0성남 판교역,,"무와 데이터 파이프라인 시스템 설계/구축/관리 업무를 수행하게 됩니다. 지원자격 개발 경력 3년 이상 Python, Java, Kotlin, Scala 중 하나 이상의 언어에 능통 SQL 또는 HiveQL에 능통 대용량..."
https://kr.indeed.com/viewjob?jk=job_4722506a02749f75,신세계건설] 신세계건설(주) 스마트건설 경력사원 모집,신세계4.5경기도,,"포함) - 3차원 데이터 취득 장비(LiDAR/Drone 등) 활용능력 보유 우대 - 컴퓨터 언어( Python, C++등) 및 BIM S/W 활용능력 보유 우대 - BIM 관련 프로젝트 입찰 참여 및 현장기술 지원..."
https://kr.indeed.com/viewjob?jk=job_038c468c430dd125,"목동 컴퓨터 학원 코딩 강사 (정규직 및 계약직, 경력무관)",잼코딩목동캠퍼스서울 양천구,,"2,3년)졸업 이상 기타: [IT·문화·직업강사] - C, C++, Python 언어 수업 가능자 [교육상담·학원에이전트 ] - CS 마인드 보유자... 문화·직업강사]- C, C++, Python 언어 수업 가능자[교육상담..."
https://kr.indeed.com/viewjob?jk=job_56523d2ce6f8d860,NHN Cloud 인프라 서비스 개발,NHN4.4성남 판교역,,우대사항 - NHN Cloud에서 제공하는 다양한 인프라 서비스 개발 - C/C++ 또는 Java/ Python 개발 경력 5년 이상 - Linux 환경 개발자 - Openstack 개발 경험 - Container...
https://kr.indeed.com/viewjob?jk=job_40242ac4ad660d9e,"AI개발, 웹개발(Django) 외 신입/경력 정규직, 계약직",올유저닷넷서울 마포구,,인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>웹디자인>UI...
https://kr.indeed.com/viewjob?jk=job_3cd339cf8959f44d,생명정보학 부문 박사졸 선임연구원 정규직 정규직,카이팜서울 서대문구,"연봉 50,000,000원 - 60,000,000원","- Python or R 활용가능 -Linux terminal 능숙 -생물학... 생명정보학, 생물정보학-외국어: 영어 회화가능,독해가능,작문가능- Python or R 활용가능- Linux terminal 능숙- 생물학 기초 수강..."
https://kr.indeed.com/viewjob?jk=job_8e427bfa23c2365d,Machine Learning Engineer (LINE AI Services Lab),LINE Plus corporation대한민국,,"있으신 분 Hadoop MR, Hive, Spark 등 대용량 처리 프레임워크 개발/사용 경험이 있으신 분 Python, Scala, SQL 등의 프로그래밍 언어를 사용할 수 있으신 분 해외 출장 및 근무에 결격 사유 없으신..."
https://kr.indeed.com/viewjob?jk=job_76ede5b272c46cad,AI분야 코스닥상장사 백엔드개발 경력 정규직,서치넷성남 분당구,,부분을 개발해보거나 프로젝트를 진행해본 경험이 있으신 분 2) Python / golang 중 하나 이상을 능숙하게 사용하실 수 있으신 분 3... 진행해본 경험이 있으신 분2) Python / golang 중 하나 이상을...
https://kr.indeed.com/viewjob?jk=job_bc6f3958319c0a16,데이터 사이언티스트 경력자,LG전자3.8서울특별시,,"개발 경험 . 자연어처리/시계열 분석/머신러닝/데이터 마이닝 알고리즘 이론 및 실무 적용에 대한 깊은 이해 . Python Data & Analytics 라이브러리 경험 (NLTK, Spacy, Scikit-Learn..."
https://kr.indeed.com/viewjob?jk=job_9099b0cbccb5f25d,[정규직] 소프트웨어 / AI개발,리버트론서울 영등포구,,이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝
https://kr.indeed.com/viewjob?jk=job_d17da0baecf05910,데이터 분야 경력,LG CNS3.7서울,,"해가 뛰어난 자 - R, Python, SAS, SQL 등 활용 역량 우대사항(해당 내용 중 1개 이상) - ML/DL 경험 인력 우대 - 관련 분야 석사 이상 학위 소지자 우대 - R, Python등 데이터분석 모델링 경험..."
https://kr.indeed.com/viewjob?jk=job_65d17e4704beb445,네트워크 보안 담당자 채용,케이뱅크은행서울 중학동,,"정보보안기사 등 관련 자격증을 보유하신 분 - 포렌식 업무 경험 또는 관련 자격증을 보유하신 분 - Java, Python 등 프로그래밍 언어가 능숙하신 분 근무조건 [근무조건] - 근무형태 : 정규직 - 모집인원 : 명..."
https://kr.indeed.com/viewjob?jk=job_d585814d097935eb,카카오톡 보이스톡/페이스톡/라이브톡 개발자 모집,카카오4.0성남 판교역,,"우대 사항 ✓ Spring/Java 혹은 Spring/Kotlin 기반 서버 개발 경험 ✓ MySQL, Python, JavaScript, Node.js 경험 ✓ 모바일/웹 환경을 위한 API 시스템 개발 경험 ✓ k8s..."
https://kr.indeed.com/viewjob?jk=job_2ca16f737da77617,[인턴] Lighthouse 채용연계형 인턴 채용 (ML Engineer),삼정 KPMG3.3서울 강남구,,Deep Learning 대한 기초적인 이해 -NLP 모델 또는 Vision 모델에 대한 이론적인 이해 - Python을 사용하여 개발 가능 -정규직 전환 시 full-time 근무 가능 자 -다양한 논문을 읽고 이해할 수...
https://kr.indeed.com/viewjob?jk=job_c7d52aeb22295927,데이터표준품질부문 경력직 (정규직),한국정보기술단서울 강남구,,데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>R|인터넷... DBA>MySQL|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/viewjob?jk=job_d5f94b987d7e125d,[KSTEC] 2020년 신입 및 경력 채용 (SW개발자),지식시스템(주) 관심기업 IBK추천성남 삼평동,,"지능화(의사결정 자동화) 시스템 개발 (SPSS, SAS, R, Python, Java 기반) 2. 기업용 데이터과학&인공지능 플랫폼 솔루션... 1. SPSS, SAS, R, Python, Java 등 데이터분석..."
https://kr.indeed.com/viewjob?jk=job_b6d169aa029a45a6,[강남/스타트업] 에이스랩 자율주행 엔지니어,에이스랩서울 강남구,,"공학 등 관련학사혹은 상응하는 지식- 프로그래밍 능력 (C/C++, python, etc)자세한 업무 및 자격 요건은 자사 홈페이지에서 확인 00 명... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임..."
